"StrategyName"	"UD_ScreenCosts"	"UD_TriageCosts"	"UD_EarlyTreatmentCosts"	"UD_LateTreatmentCosts"	"D_ScreenCosts"	"D_TriageCosts"	"D_EarlyTreatmentCosts"	"D_LateTreatmentCosts"	"N_CancerDeaths"	"N_Overdiagnosed"	"N_ClinicalCases"
"45_65_10"	27739400	6500000	11210000	69440000	2082522.68	482480.2	783749	3852294	2229	73	4593
"45_70_1"	235985900	49489000	25640000	42340000	15517222.29	3259059.3	1706251	2445462	1614	161	4681
"45_70_5"	54410000	12492000	18150000	56760000	3665219.89	833137	1173966	3262116	1936	133	4653
"45_75_1"	273487000	57405000	29730000	35560000	16586945.34	3484848	1822820	2286820	1455	231	4751
"45_75_2"	141045900	30709000	26770000	41240000	8621524.36	1872978.9	1627326	2588010	1586	219	4739
"45_75_3"	96875300	21598000	24110000	46120000	5966680.7	1327949.3	1454735	2848812	1682	197	4717
"45_75_5"	61579400	14181000	20820000	52500000	3850190.41	876713.2	1242852	3172202	1840	187	4707
"45_75_6"	52651600	12252000	18940000	56060000	3318807.28	764590.1	1126465	3352682	1926	177	4697
"45_75_10"	34919700	8295000	14940000	63560000	2267774.42	528791.2	879983	3728130	2097	152	4672
"45_80_1"	305265100	64315000	34550000	28280000	17298473.85	3639603.7	1930789	2151480	1296	349	4869
"45_80_5"	67424600	15677000	23810000	48060000	3968263.45	906932.4	1303250	3097282	1747	264	4784
"45_80_7"	50231900	12141000	20470000	54080000	3015348.34	712599.3	1110438	3390478	1882	231	4751
"45_85_1"	329125600	69468000	38070000	23940000	17718038.46	3730210.8	1992507	2085966	1192	484	5004
"45_85_2"	168111600	36929000	3.4e+07	31300000	9158739.3	1996341.1	1770904	2419830	1373	445	4965
"45_85_4"	87507300	20281000	28090000	4.2e+07	4882103.01	1114423.7	1446301	2908424	1621	389	4909
"45_85_5"	71516900	16718000	25830000	45880000	4032921.79	923380.2	1335166	3067756	1701	357	4877
"45_85_8"	47080900	11428000	20240000	56020000	2752274.16	651392.6	1034941	3520900	1932	305	4825
"45_85_10"	39019300	9404000	17640000	60480000	2332548.1	546313.4	922643	3686226	2038	268	4788
"45_90_1"	343909900	72610000	40430000	21200000	17923065.34	3773786.9	2025414	2052586	1137	583	5103
"45_90_3"	118710000	26727000	32090000	35580000	6362042.09	1420828.5	1599235	2684150	1465	468	4988
"45_90_5"	73743600	17278000	26960000	44660000	4060532.87	930324.2	1349178	3054430	1679	409	4929
"45_90_9"	43372000	10522000	19240000	57660000	2524716.79	595035.5	974529	3602248	1955	287	4807
"45_95_1"	350812400	74120000	41550000	20340000	17998502.44	3790278.7	2037697	2044110	1124	652	5172
"45_95_2"	178179100	39196000	36760000	28460000	9285707.42	2024843.8	1805690	2387842	1321	579	5099
"45_95_5"	74574800	17487000	27390000	44400000	4068595.51	932351.5	1353349	3052174	1677	439	4959
"45_95_10"	39852000	9628000	18220000	60100000	2340625.29	548486.2	928269	3682890	2033	307	4827
"45_100_1"	352455500	74464000	41780000	20320000	18012965.08	3793304.3	2039717	2043942	1124	674	5194
"45_100_5"	74574800	17487000	27390000	44400000	4068595.51	932351.5	1353349	3052174	1677	439	4959
"50_55_1"	56656000	12091000	7540000	75780000	4390891.17	939302.5	609011	4101286	2358	23	4543
"50_55_5"	18921500	4277000	6180000	78460000	1473099.94	333510.1	486921	4291720	2410	21	4541
"50_60_1"	102473200	21544000	12380000	66600000	7103144.17	1498444.5	895254	3665372	2150	48	4568
"50_60_2"	55929700	12173000	11440000	68440000	3885872.32	848855.4	821004	3780758	2186	46	4566
"50_60_5"	27990600	6388000	9310000	72560000	1958296.79	446448.6	654376	4040352	2273	39	4559
"50_60_10"	18642900	4394000	7490000	76100000	1319705.32	308882	516306	4253354	2349	34	4554
"50_65_1"	146484300	30728000	17470000	57380000	9144457.16	1924501.1	1130341	3320912	1967	96	4616
"50_65_3"	54961400	12323000	14750000	62640000	3456769.73	776156.8	933650	3624218	2080	87	4607
"50_65_5"	36656400	8415000	12770000	66440000	2321393.81	531379.9	799350	3832044	2158	79	4599
"50_70_1"	187900400	39524000	22350000	48800000	10649941.89	2244126.6	1307762	3066508	1762	155	4675
"50_70_2"	98422200	21531000	20350000	52640000	5607412.07	1227315.9	1180672	3262348	1848	147	4667
"50_70_4"	53644200	12300000	16970000	59180000	3087953.06	704875.6	971055	3590972	1987	136	4656
"50_70_5"	44722600	10384000	15930000	61140000	2586771.79	596160	903314	3691120	2036	130	4650
"50_70_10"	26721800	6483000	11850000	68920000	1585501.13	377610.1	659750	4061114	2194	111	4631
"50_75_1"	225401500	47440000	26440000	42020000	11719664.94	2469915.3	1424331	2907866	1603	225	4745
"50_75_5"	51892000	12073000	18600000	56880000	2771742.31	639736.2	972200	3601206	1940	184	4704
"50_80_1"	257179600	54350000	31260000	34740000	12431193.45	2624671	1532300	2772526	1444	343	4863
"50_80_2"	132524400	29155000	28340000	40100000	6462262.32	1417800.8	1377157	3005360	1563	319	4839
"50_80_3"	90937200	20619000	25820000	44780000	4474740.61	1009904.9	1240629	3212650	1675	301	4821
"50_80_5"	57737200	13569000	21590000	52440000	2889815.35	669955.4	1032598	3526286	1847	261	4781
"50_80_6"	49282500	11687000	19980000	55180000	2489997.21	581109.8	950293	3641352	1904	237	4757
"50_80_10"	32575200	8057000	15620000	63300000	1703739.81	409404.9	735904	3966174	2071	207	4727
"50_85_1"	281040100	59503000	34780000	30400000	12850758.06	2715278.1	1594018	2707012	1340	478	4998
"50_85_5"	61829500	14610000	23610000	50260000	2954473.69	686403.2	1064514	3496760	1801	354	4874
"50_85_7"	45923500	11005000	20020000	56660000	2245485.38	527391.4	897962	3743414	1937	315	4835
"50_90_1"	295824400	62645000	37140000	27660000	13055784.94	2758854.2	1626925	2673632	1285	577	5097
"50_90_2"	150960900	33289000	33450000	34120000	6753558.92	1483008.4	1457414	2923930	1433	531	5051
"50_90_4"	78427800	18177000	27100000	45180000	3605173.73	826785.6	1175337	3345864	1678	449	4969
"50_90_5"	64056200	15170000	24740000	49040000	2982084.77	693347.2	1078526	3483434	1779	406	4926
"50_90_8"	42034200	10129000	19260000	58160000	2037815.5	480797.5	848970	3815120	1970	314	4834
"50_90_10"	34805700	8653000	17110000	61720000	1731398.01	416795.3	754380	3949038	2044	277	4797
"50_95_1"	302726900	64155000	38260000	26800000	13131222.04	2775346	1639208	2665156	1272	646	5166
"50_95_3"	104513000	23827000	30840000	39300000	4674331.58	1057031.3	1313938	3141736	1557	529	5049
"50_95_5"	64887400	15379000	25170000	48780000	2990147.41	695374.5	1082697	3481178	1777	436	4956
"50_95_9"	38224600	9425000	18890000	59480000	1868523.12	448239.6	817491	3861268	2010	343	4863
"50_100_1"	304370000	64499000	38490000	26780000	13145684.68	2778371.6	1641228	2664988	1272	668	5188
"50_100_2"	154712500	34131000	34500000	33440000	6792236.44	1491720.8	1468398	2917330	1422	602	5122
"50_100_5"	64887400	15379000	25170000	48780000	2990147.41	695374.5	1082697	3481178	1777	436	4956
"50_100_10"	34805700	8653000	17110000	61720000	1731398.01	416795.3	754380	3949038	2044	277	4797
"55_60_1"	55186500	11653000	8720000	73840000	3352173.31	709373.2	550959	4210952	2309	44	4564
"55_60_5"	18437700	4304000	6940000	77260000	1125069.27	262690.8	427382	4402510	2381	37	4557
"55_65_1"	99197600	20837000	13810000	64620000	5393486.3	1135429.8	786046	3866492	2126	92	4612
"55_65_2"	54142000	11897000	12730000	66680000	2951216.55	650325.3	716296	3973344	2166	87	4607
"55_65_5"	27103500	6331000	10400000	71140000	1488166.29	347622.1	572356	4194202	2266	77	4597
"55_65_10"	18045000	4323000	8300000	75180000	1003411.26	238976.1	447826	4384686	2363	69	4589
"55_70_1"	140613700	29633000	18690000	56040000	6898971.03	1455055.3	963467	3612088	1921	151	4671
"55_70_3"	52736900	11997000	15680000	61760000	2608669.61	592799.1	794548	3872256	2053	136	4656
"55_70_5"	35169700	8300000	13560000	65840000	1753544.27	412402.2	676320	4053278	2144	128	4648
"55_75_1"	178114800	37549000	22780000	49260000	7968694.08	1680844	1080036	3453446	1762	221	4741
"55_75_2"	93249200	20546000	20600000	53420000	4196654.1	925699.9	967139	3627880	1861	211	4731
"55_75_4"	50778800	11814000	17570000	59020000	2311649.77	537689.8	811418	3858628	1980	188	4708
"55_75_5"	42339100	9989000	16230000	61580000	1938514.79	455978.4	745206	3963364	2048	182	4702
"55_75_10"	25225300	6118000	12030000	69300000	1188663	285287.1	544060	4260522	2231	148	4668
"55_80_1"	209892900	44459000	27600000	41980000	8680222.59	1835599.7	1188005	3318106	1603	339	4859
"55_80_5"	48184300	11485000	19220000	57140000	2056587.83	486197.6	805604	3888444	1955	259	4779
"55_85_1"	233753400	49612000	31120000	37640000	9099787.2	1926206.8	1249723	3252592	1499	474	4994
"55_85_2"	120314900	26766000	27830000	43480000	4733869.04	1049062.1	1110717	3459700	1648	437	4957
"55_85_3"	82469400	19009000	25250000	48040000	3278868.21	750681.2	1004544	3616208	1753	407	4927
"55_85_5"	52276600	12526000	21240000	54960000	2121246.17	502645.4	837520	3858918	1909	352	4872
"55_85_6"	44519900	10880000	19580000	57560000	1826698.28	440188.5	773697	3939228	1974	316	4836
"55_85_10"	29324900	7227000	14730000	66220000	1253436.68	302809.3	586720	4218618	2172	264	4784
"55_90_1"	248537700	52754000	33480000	34900000	9304814.08	1969782.9	1282630	3219212	1444	573	5093
"55_90_5"	54503300	13086000	22370000	53740000	2148857.25	509589.4	851532	3845592	1887	404	4924
"55_90_7"	40413900	9898000	18750000	59740000	1636132.47	393595.3	714394	4038840	2021	342	4862
"55_95_1"	255440200	54264000	34600000	34040000	9380251.18	1986274.7	1294913	3210736	1431	642	5162
"55_95_2"	130382400	29033000	30590000	40640000	4860837.16	1077564.8	1145503	3427712	1596	571	5091
"55_95_4"	67783000	15914000	24810000	49900000	2603122.89	608057.3	934385	3721616	1799	456	4976
"55_95_5"	55334500	13295000	22800000	53480000	2156919.89	511616.7	855703	3843336	1885	434	4954
"55_95_8"	36379900	8902000	17430000	62380000	1480316.91	356242.8	661470	4118316	2070	342	4862
"55_95_10"	30157600	7451000	15310000	65840000	1261513.87	304982.1	592346	4215282	2167	303	4823
"55_100_1"	257083300	54608000	34830000	34020000	9394713.82	1989300.3	1296933	3210568	1431	664	5184
"55_100_3"	88968600	20548000	27720000	45920000	3357935.56	769295	1034403	3592838	1716	548	5068
"55_100_5"	55334500	13295000	22800000	53480000	2156919.89	511616.7	855703	3843336	1885	434	4954
"55_100_9"	32742700	8077000	16210000	64080000	1355953.49	328146.9	619662	4172906	2125	305	4825
"60_65_1"	53094700	11435000	9620000	72740000	2527282.59	546455.1	477142	4344128	2295	79	4599
"60_65_5"	17748400	4268000	7890000	76040000	849013.8	204801.6	381747	4488956	2368	71	4591
"60_70_1"	94510800	20231000	14500000	64160000	4032767.32	866080.6	654563	4089724	2090	138	4658
"60_70_2"	51575700	11604000	13390000	66260000	2207486.57	498582.6	598959	4174450	2141	132	4652
"60_70_5"	25814600	6237000	11050000	70740000	1114391.78	269581.7	485711	4348032	2246	122	4642
"60_70_10"	17161300	4328000	8770000	7.5e+07	751704.21	188514.6	379379	4505592	2329	107	4627
"60_75_1"	132011900	28147000	18590000	57380000	5102490.37	1091869.3	771132	3931082	1931	208	4728
"60_75_3"	49466200	11336000	15560000	62940000	1929913.99	444987.6	633693	4135698	2057	183	4703
"60_75_5"	32984000	7926000	13720000	66480000	1299362.3	313157.9	554597	4258118	2150	176	4696
"60_80_1"	163790000	35057000	23410000	50100000	5814018.88	1246625	879101	3795742	1772	326	4846
"60_80_2"	85677900	19228000	21380000	53720000	3062336.82	689067.5	795444	3917462	1856	304	4824
"60_80_4"	46572600	11101000	18060000	59700000	1687720.33	401771.4	663328	4111070	1991	271	4791
"60_80_5"	38829200	9422000	16710000	62040000	1417435.34	343377.1	614995	4183198	2057	253	4773
"60_80_10"	23014700	5902000	12540000	69380000	869942.89	220309.4	455533	4410652	2206	203	4723
"60_85_1"	187650500	40210000	26930000	45760000	6233583.49	1337232.1	940819	3730228	1668	461	4981
"60_85_5"	42921500	10463000	18730000	59860000	1482093.68	359824.9	646911	4153672	2011	346	4866
"60_90_1"	202434800	43352000	29290000	43020000	6438610.37	1380808.2	973726	3696848	1613	560	5080
"60_90_2"	104114400	23362000	26490000	47740000	3353633.42	754275.1	875701	3836032	1726	516	5036
"60_90_3"	71300900	16465000	23540000	52400000	2325275.38	537866.8	778193	3971036	1840	454	4974
"60_90_5"	45148200	11023000	19860000	58640000	1509704.76	366768.9	660923	4140346	1989	398	4918
"60_90_6"	38376900	9396000	18360000	60660000	1299390.93	317278.1	609213	4203260	2015	349	4869
"60_90_10"	25245200	6498000	14030000	67800000	897601.09	227699.8	474009	4393516	2179	273	4793
"60_95_1"	209337300	44862000	30410000	42160000	6514047.47	1397300	986009	3688372	1600	629	5149
"60_95_5"	45979400	11232000	20290000	58380000	1517767.4	368796.2	665094	4138090	1987	428	4948
"60_95_7"	34158200	8546000	17220000	63100000	1159016.52	288104.8	569339	4262892	2079	357	4877
"60_100_1"	210980400	45206000	30640000	42140000	6528510.11	1400325.6	988029	3688204	1600	651	5171
"60_100_2"	107866000	24204000	27540000	47060000	3392310.94	762987.5	886685	3829432	1715	587	5107
"60_100_4"	56295000	13425000	22370000	55160000	1826626.58	434995.6	724239	4053588	1899	475	4995
"60_100_5"	45979400	11232000	20290000	58380000	1517767.4	368796.2	665094	4138090	1987	428	4948
"60_100_8"	30427600	7702000	16220000	64800000	1048909.78	262432.7	534591	4314398	2117	342	4862
"60_100_10"	25245200	6498000	14030000	67800000	897601.09	227699.8	474009	4393516	2179	273	4793
"65_70_1"	50098500	10984000	9950000	72840000	1869274.89	411278.7	389614	4491020	2293	117	4637
"65_70_5"	16747600	4147000	8130000	76320000	629126.84	156020.3	312027	4611036	2381	109	4629
"65_75_1"	87599600	18900000	14040000	66060000	2938997.94	637067.4	506183	4332378	2134	187	4707
"65_75_2"	47789200	10833000	12900000	68240000	1609210.23	366853	461288	4402386	2195	182	4702
"65_75_5"	23917000	5836000	10800000	72060000	814097.36	199596.5	380913	4521122	2285	163	4683
"65_75_10"	15861500	3971000	8680000	75780000	548994.02	137485.4	303639	4628962	2372	137	4657
"65_80_1"	119377700	25810000	18860000	58780000	3650526.45	791823.1	614152	4197038	1975	305	4825
"65_80_3"	44657600	10478000	16080000	63680000	1381734.88	325139.7	516556	4337632	2096	272	4792
"65_80_5"	29762200	7332000	13790000	67620000	932170.4	229815.7	441311	4446202	2192	240	4760
"65_85_1"	143238200	30963000	22380000	54440000	4070091.06	882430.2	675870	4131524	1871	440	4960
"65_85_2"	74854900	17053000	20130000	58300000	2146425.17	490215.2	604866	4234206	1982	408	4928
"65_85_4"	40593300	9864000	17080000	63440000	1184779.84	287499	509652	4366450	2108	360	4880
"65_85_5"	33854500	8373000	15810000	65440000	996828.74	246263.5	473227	4416676	2146	333	4853
"65_85_10"	19961100	5080000	11380000	72700000	613767.7	155007.6	346299	4587058	2313	253	4773
"65_90_1"	158022500	34105000	24740000	51700000	4275117.94	926006.3	708777	4098144	1816	539	5059
"65_90_5"	36081200	8933000	16940000	64220000	1024439.82	253207.5	487239	4403350	2124	385	4905
"65_95_1"	164925000	35615000	25860000	50840000	4350555.04	942498.1	721060	4089668	1803	608	5128
"65_95_2"	84922400	19320000	22890000	55460000	2273393.29	518717.9	639652	4202218	1930	542	5062
"65_95_3"	58233400	13686000	21100000	58200000	1581325.85	372266.1	589865	4266718	1978	500	5020
"65_95_5"	36912400	9142000	17370000	63960000	1032502.46	255234.8	491410	4401094	2122	415	4935
"65_95_6"	31430200	7804000	15890000	66120000	891185.15	220930.8	453399	4450004	2149	375	4895
"65_95_10"	20793800	5304000	11960000	72320000	621844.89	157180.4	351925	4583722	2308	292	4812
"65_100_1"	166568100	35959000	26090000	50820000	4365017.68	945523.7	723080	4089500	1803	630	5150
"65_100_5"	36912400	9142000	17370000	63960000	1032502.46	255234.8	491410	4401094	2122	415	4935
"65_100_7"	27608100	6966000	15090000	67400000	794008.89	198504.7	426908	4481102	2186	359	4879
"70_75_1"	45587300	10075000	9150000	75260000	1335756.32	296794.3	282788	4667458	2334	158	4678
"70_75_5"	15254400	3837000	7620000	7.8e+07	450964.18	114217	231457	4742000	2402	142	4662
"70_80_1"	77365400	16985000	13970000	67980000	2047284.83	451550	390757	4532118	2175	276	4796
"70_80_2"	42187600	9776000	12980000	69640000	1120857.43	261260.9	360408	4573148	2211	260	4780
"70_80_5"	21099600	5333000	10610000	73560000	569037.22	144436.2	291855	4667080	2309	219	4739
"70_80_10"	13938000	3718000	8680000	76700000	384222.02	102332.4	237693	4738290	2376	183	4703
"70_85_1"	101225900	22138000	17490000	63640000	2466849.44	542157.1	452475	4466604	2071	411	4931
"70_85_3"	37817900	9164000	14560000	68460000	936204.66	228646.9	373807	4574088	2196	359	4879
"70_85_5"	25191900	6374000	12630000	71380000	633695.56	160884	323771	4637554	2263	312	4832
"70_90_1"	116010200	25280000	19850000	60900000	2671876.32	585733.2	485382	4433224	2016	510	5030
"70_90_2"	60624100	13910000	18090000	63660000	1412154.03	326468.5	440665	4491718	2081	472	4992
"70_90_4"	32868900	8027000	15100000	68220000	783222.43	192604.8	367393	4586108	2188	401	4921
"70_90_5"	27418600	6934000	13760000	70160000	661306.64	167828	337783	4624228	2241	364	4884
"70_90_10"	16168500	4314000	10170000	75120000	411880.22	109722.8	256169	4721154	2349	253	4773
"70_95_1"	122912700	26790000	20970000	60040000	2747313.42	602225	497665	4424748	2003	579	5099
"70_95_5"	28249800	7143000	14190000	69900000	669369.28	169855.3	341954	4621972	2239	394	4914
"70_100_1"	124555800	27134000	21200000	60020000	2761776.06	605250.6	499685	4424580	2003	601	5121
"70_100_2"	64375700	14752000	19140000	62980000	1450831.55	335180.9	451649	4485118	2070	543	5063
"70_100_3"	44317100	10703000	17030000	66340000	1015272.01	247260.7	403666	4550718	2159	500	5020
"70_100_5"	28249800	7143000	14190000	69900000	669369.28	169855.3	341954	4621972	2239	394	4914
"70_100_6"	24213000	6202000	13270000	71680000	581382.51	149923.4	321365	4654062	2266	391	4911
"70_100_10"	16168500	4314000	10170000	75120000	411880.22	109722.8	256169	4721154	2349	253	4773
"75_80_1"	38965000	8766000	9160000	76360000	896949.36	202628.8	219824	4771124	2366	214	4734
"75_80_5"	13031200	3343000	7240000	79320000	303471.84	77871.8	170048	4834176	2437	170	4690
"75_85_1"	62825500	13919000	12680000	72020000	1316513.97	293235.9	281542	4705610	2262	349	4869
"75_85_2"	34252300	8073000	11540000	73760000	722627.78	171155.2	254632	4739624	2315	322	4842
"75_85_5"	17123500	4384000	9260000	77140000	368130.18	94319.6	201964	4804650	2391	263	4783
"75_85_10"	11285600	2956000	6950000	80680000	250172.48	65174.8	152310	4867192	2471	209	4729
"75_90_1"	77609800	17061000	15040000	69280000	1521540.85	336812	314449	4672230	2207	448	4968
"75_90_3"	29021000	6979000	12260000	73200000	580766.85	140598.4	254816	4744010	2312	366	4886
"75_90_5"	19350200	4944000	10390000	75920000	395741.26	101263.6	215976	4791324	2369	315	4835
"75_95_1"	84512300	18571000	16160000	68420000	1596977.95	353303.8	326732	4663754	2194	517	5037
"75_95_2"	44319800	10340000	14300000	70920000	849595.9	199657.9	289418	4707636	2263	456	4976
"75_95_4"	24190300	5947000	11490000	74640000	476874.04	118020.1	232617	4772084	2349	361	4881
"75_95_5"	20181400	5153000	10820000	75660000	403803.9	103290.9	220147	4789068	2367	345	4865
"75_95_10"	12118300	3180000	7530000	80300000	258249.67	67347.6	157936	4863856	2466	248	4768
"75_100_1"	86155400	18915000	16390000	68400000	1611440.59	356329.4	328752	4663586	2194	539	5059
"75_100_5"	20181400	5153000	10820000	75660000	403803.9	103290.9	220147	4789068	2367	345	4865
"80_85_1"	29719700	6785000	7870000	79640000	537919.45	123563.5	149488	4875494	2434	249	4769
"80_85_5"	9950600	2664000	6280000	81940000	182995.56	49228	117924	4913892	2494	205	4725
"80_90_1"	44504000	9927000	10230000	76900000	742946.33	167139.6	182395	4842114	2379	348	4868
"80_90_2"	24295400	5763000	9430000	78060000	409645.05	98100.1	167388	4860676	2408	326	4846
"80_90_5"	12177300	3224000	7410000	80720000	210606.64	56172	131936	4900566	2472	257	4777
"80_90_10"	8088700	2218000	5740000	82560000	145993.84	40154.8	104326	4926584	2513	182	4702
"80_95_1"	51406500	11437000	11350000	76040000	818383.43	183631.4	194678	4833638	2366	417	4937
"80_95_3"	19434500	4835000	9320000	78600000	317935.31	79977.8	160029	4871872	2421	342	4862
"80_95_5"	13008500	3433000	7840000	80460000	218669.28	58199.3	136107	4898310	2470	287	4807
"80_100_1"	53049600	11781000	11580000	76020000	832846.07	186657	196698	4833470	2366	439	4959
"80_100_2"	28047000	6605000	10480000	77380000	448322.57	106812.5	178372	4854076	2397	397	4917
"80_100_4"	15580900	3949000	8590000	79540000	257246.87	66038.4	147259	4885304	2447	316	4836
"80_100_5"	13008500	3433000	7840000	80460000	218669.28	58199.3	136107	4898310	2470	287	4807
"80_100_10"	8088700	2218000	5740000	82560000	145993.84	40154.8	104326	4926584	2513	182	4702
"85_90_1"	18888300	4294000	5490000	84040000	269869.17	61768.6	82270	4967146	2549	231	4751
"85_90_5"	6329600	1701000	4150000	85720000	92436.22	24965	61660	4989400	2587	181	4701
"85_95_1"	25790800	5804000	6610000	83180000	345306.27	78260.4	94553	4958670	2536	300	4820
"85_95_2"	14170800	3412000	5820000	84040000	191799.36	46584.7	83044	4969956	2554	264	4784
"85_95_5"	7160800	1910000	4580000	85460000	100498.86	26992.3	65831	4987144	2585	211	4731
"85_95_10"	4935400	1363000	3580000	86600000	72899.85	20169	53026	4999808	2605	168	4688
"85_100_1"	27433900	6148000	6840000	83160000	359768.91	81286	96573	4958502	2536	322	4842
"85_100_3"	10602300	2682000	5510000	84780000	143895.49	36664.8	77807	4978848	2570	270	4790
"85_100_5"	7160800	1910000	4580000	85460000	100498.86	26992.3	65831	4987144	2585	211	4731
"90_95_1"	9136100	2133000	2880000	87780000	103133.14	24212.2	34059	5022228	2632	157	4677
"90_95_5"	3063900	825000	2120000	88420000	35748.12	9665.7	25127	5028876	2643	113	4633
"90_100_1"	10779200	2477000	3110000	87760000	117595.78	27237.8	36079	5022060	2632	179	4699
"90_100_2"	5984900	1464000	2800000	87980000	66369.72	16418	32612	5024328	2634	159	4679
"90_100_5"	3063900	825000	2120000	88420000	35748.12	9665.7	25127	5028876	2643	113	4633
"90_100_10"	2232700	616000	1690000	88680000	27685.48	7638.4	20956	5031132	2645	83	4603
"95_100_1"	2477000	580000	930000	89980000	22551.32	5313.3	8795	5046132	2670	72	4592
"95_100_5"	833600	233000	670000	9e+07	8085.92	2260.1	6499	5046300	2670	47	4567
